"path","method","parameters","response"
"/v1/Users/Anonymous/Requests","GET","[{""name"":""placeId"",""in"":""query"",""description"":""ID for place"",""required"":true,""type"":""integer"",""format"":""int32""},{""name"":""deviceToken"",""in"":""query"",""description"":""Unique token for the device"",""required"":true,""type"":""string""},{""name"":""status"",""in"":""query"",""description"":""[Optional] Request status"",""required"":false,""type"":""string"",""enum"":[""NEW"",""ACK"",""CLOSED"",""ARCHIVED"",""DELETED"",""PENDING_APPROVAL""]},{""name"":""culture"",""in"":""query"",""description"":"""",""required"":false,""type"":""string""}]","{""200"":{""description"":""OK"",""schema"":{""$ref"":{""MonsciergeAPI.Models.Request.LastKnown.LastKnownRequestsSubBaseModel"":{""title"":""last_known_requests_sub_base"",""type"":""object"",""properties"":{""requests"":{""type"":""array"",""items"":{""$ref"":""MonsciergeAPI.Models.Request.RequestSubBaseModel""}},""last_known_request_action_id"":{""format"":""int32"",""type"":""integer""}}}}}}}"
"/v1/Users/Anonymous/Requests/{requestId}","GET","[{""name"":""placeId"",""in"":""query"",""description"":""ID for place"",""required"":true,""type"":""integer"",""format"":""int32""},{""name"":""requestId"",""in"":""path"",""description"":""ID for request"",""required"":true,""type"":""integer"",""format"":""int32""},{""name"":""deviceToken"",""in"":""query"",""description"":""Unique id for a user's device"",""required"":true,""type"":""string""},{""name"":""culture"",""in"":""query"",""description"":"""",""required"":false,""type"":""string""}]","{""200"":{""description"":""OK"",""schema"":{""$ref"":{""System.Object"":{""title"":""object"",""type"":""object"",""properties"":{}}}}}}"
"/v1/Applications/me/config","GET",,"{""200"":{""description"":""OK"",""schema"":{""type"":""object"",""additionalProperties"":{""$ref"":""System.Object""}}}}"
"/v1/Clicktrack","POST","[{""name"":""clicks"",""in"":""body"",""description"":""Array of click event models"",""required"":true,""schema"":{""type"":""array"",""items"":{""$ref"":""MonsciergeAPI.Models.ClickTrack.ClickTrackResourceModel""}}}]","{""200"":{""description"":""OK"",""schema"":{""$ref"":{""System.Object"":{""title"":""object"",""type"":""object"",""properties"":{}}}}}}"
"/v2/places/{placeId}/events","GET","[{""name"":""placeId"",""in"":""path"",""description"":""Id of the Place."",""required"":true,""type"":""integer"",""format"":""int32""},{""name"":""dateStart"",""in"":""query"",""description"":""Date range start (ISO 8601 date format)."",""required"":false,""type"":""string"",""format"":""date-time""},{""name"":""dateEnd"",""in"":""query"",""description"":""Date range end (ISO 8601 date format)."",""required"":false,""type"":""string"",""format"":""date-time""},{""name"":""culture"",""in"":""query"",""description"":""Client culture. e.g. \"en_US\"."",""required"":false,""type"":""string""},{""name"":""accessCodes"",""in"":""query"",""description"":""Client cached access codes"",""required"":false,""type"":""array"",""items"":{""type"":""string""},""collectionFormat"":""multi""}]","{""200"":{""description"":""OK"",""schema"":{""$ref"":{""MonsciergeAPI.Models.Event.EventDetails.EventCollectionModel"":{""title"":""event_collection"",""type"":""object"",""properties"":{""events"":{""type"":""array"",""items"":{""$ref"":""MonsciergeAPI.Models.Event.EventDetails.EventResourceModel""}},""self_url"":{""type"":""string""}}}}}}}"
"/v1/Places/{placeId}/Features/{featureId}/Cart","DELETE","[{""name"":""placeId"",""in"":""path"",""description"":""Id of the Place."",""required"":true,""type"":""integer"",""format"":""int32""},{""name"":""featureId"",""in"":""path"",""description"":"""",""required"":true,""type"":""integer"",""format"":""int32""}]","{""200"":{""description"":""OK"",""schema"":{""type"":""string""}}}"
"/v1/Places/{placeId}/Features/RoomService/Cart","DELETE","[{""name"":""placeId"",""in"":""path"",""description"":""Id of the Place."",""required"":true,""type"":""integer"",""format"":""int32""}]","{""200"":{""description"":""OK"",""schema"":{""type"":""string""}}}"
"/v1/Places/{placeId}/Features/RoomService/Cart/Items","POST","[{""name"":""placeId"",""in"":""path"",""description"":""Id of the Place."",""required"":true,""type"":""integer"",""format"":""int32""},{""name"":""cartItem"",""in"":""body"",""description"":"""",""required"":true,""schema"":{""$ref"":""MonsciergeIDK.Carts.Models.CartItemModel""}},{""name"":""culture"",""in"":""query"",""description"":"""",""required"":false,""type"":""string""},{""name"":""currencyType"",""in"":""query"",""description"":"""",""required"":false,""type"":""string"",""default"":""USD"",""enum"":[""USD"",""GBP"",""JPY"",""EUR""]}]","{""200"":{""description"":""OK"",""schema"":{""$ref"":{""MonsciergeIDK.Carts.Models.CartModel"":{""type"":""object"",""properties"":{""id"":{""type"":""string""},""place_id"":{""format"":""int32"",""type"":""integer""},""feature_id"":{""format"":""int32"",""type"":""integer""},""user_id"":{""format"":""int32"",""type"":""integer""},""application_id"":{""format"":""int32"",""type"":""integer""},""items"":{""type"":""array"",""items"":{""$ref"":""MonsciergeIDK.Carts.Models.CartItemModel""}},""place_name"":{""type"":""string""},""feature_name"":{""type"":""string""},""user_first_name"":{""type"":""string""},""user_last_name"":{""type"":""string""},""total_price"":{""format"":""double"",""type"":""number"",""readOnly"":true},""total_price_string"":{""type"":""string"",""readOnly"":true},""options"":{""type"":""array"",""items"":{""$ref"":""MonsciergeIDK.Models.Request.RequestTemplateOption""}},""state"":{""enum"":[""Active"",""Processed"",""Abandoned""],""type"":""string""},""currency"":{""enum"":[""USD"",""GBP"",""JPY"",""EUR""],""type"":""string""}}}}}}}"
"/v1/Place/{placeId}/Config","GET","[{""name"":""placeId"",""in"":""path"",""description"":""ID for place"",""required"":true,""type"":""integer"",""format"":""int32""}]","{""200"":{""description"":""OK"",""schema"":{""type"":""object"",""additionalProperties"":{""$ref"":""System.Object""}}}}"
"/v1/Menus/Sections/Items/{menuItemId}","GET","[{""name"":""menuItemId"",""in"":""path"",""description"":""ID for menu item"",""required"":true,""type"":""integer"",""format"":""int32""}]","{""200"":{""description"":""OK"",""schema"":{""$ref"":{""MonsciergeIDK.Menus.Models.MenuItemModel"":{""type"":""object"",""properties"":{""calories"":{""format"":""int32"",""type"":""integer""},""carb_grams"":{""format"":""int32"",""type"":""integer""},""cholesterol"":{""format"":""int32"",""type"":""integer""},""description"":{""type"":""string""},""fat_grams"":{""format"":""int32"",""type"":""integer""},""fiber_grams"":{""format"":""int32"",""type"":""integer""},""info"":{""type"":""string""},""iron"":{""format"":""int32"",""type"":""integer""},""localized_description"":{""type"":""string""},""localized_name"":{""type"":""string""},""localized_sub_title"":{""type"":""string""},""menu_item_id"":{""format"":""int32"",""type"":""integer""},""micros_id"":{""format"":""int64"",""type"":""integer""},""name"":{""type"":""string""},""ordinal"":{""format"":""int32"",""type"":""integer""},""potassium"":{""format"":""int32"",""type"":""integer""},""price"":{""format"":""double"",""type"":""number""},""protein_grams"":{""format"":""int32"",""type"":""integer""},""saturated_fat_grams"":{""format"":""int32"",""type"":""integer""},""subtitle"":{""type"":""string""},""sugar_grams"":{""format"":""int32"",""type"":""integer""},""sodium"":{""format"":""int32"",""type"":""integer""},""vitamin_c"":{""format"":""int32"",""type"":""integer""},""image_urls"":{""type"":""array"",""items"":{""type"":""string""}},""allergies"":{""type"":""array"",""items"":{""type"":""string""}},""characteristics"":{""type"":""array"",""items"":{""$ref"":""MonsciergeIDK.Menus.Models.CharacteristicModel""}},""modifiers"":{""type"":""array"",""items"":{""$ref"":""MonsciergeIDK.Menus.Models.MenuItemModifierModel""}},""pairings"":{""type"":""array"",""items"":{""$ref"":""MonsciergeIDK.Menus.Models.MenuListItemModel""}},""prices"":{""type"":""array"",""items"":{""$ref"":""MonsciergeIDK.Menus.Models.MenuItemPriceModel""}},""upsell_items"":{""type"":""array"",""items"":{""$ref"":""MonsciergeIDK.Menus.Models.MenuListItemModel""}},""menu_section_id"":{""format"":""int32"",""type"":""integer""},""menu_section_item_map_id"":{""format"":""int32"",""type"":""integer""}}}}}}}"
